Lender,Rate,Available
Bob,0.075,640
Jane,0.069,480
Fred,0.071,520
Mary,0.104,170
John,0.081,320
Dave,0.074,140
Angela,0.071,60
Bob,0.069,645
Jane,0.059,470
Fred,0.077,540
Mary,0.067,190
John,0.089,820
Dave,0.071,1040
Angela,0.071,600
Bob,0.075,647
Jane,0.069,4080
Fred,0.061,50
Mary,0.098,750
John,0.081,320
Dave,0.074,140
Angela,0.071,60
Bob,0.075,640
Jane,0.0695,480
Fred,0.0712,520
Mary,0.1042,170
John,0.0812,320
Dave,0.0743,140
Angela,0.0731,60
Bob,0.0785,640
Jane,0.0649,480
Fred,0.0711,520
Mary,0.104,170
John,0.081,320
Dave,0.074,140
Angela,0.071,60
Bob,0.075,640
Jane,0.0619,480
Fred,0.0712,520
Mary,0.1045,170
John,0.0818,320
Dave,0.0749,140
Angela,0.0721,60
Bob,0.0735,640
Jane,0.0679,480
Fred,0.0741,520
Mary,0.1084,170
John,0.0841,320
Dave,0.0764,140
Angela,0.0971,60
Bob,0.0795,640
Jane,0.0619,480
Fred,0.0713,520
Mary,0.1045,170
John,0.0871,320
Dave,0.0714,140
Angela,0.0791,60
Bob,0.0765,640
Jane,0.0769,480
Fred,0.0771,520
Mary,0.1074,170
John,0.0871,320
Dave,0.0734,140
Angela,0.0731,60
Bob,0.0725,640
Jane,0.0649,480
Fred,0.0761,520
Mary,0.1094,170
John,0.0861,320
Dave,0.0734,140
Angela,0.0871,60
Bob,0.0735,640
Jane,0.0649,480
Fred,0.0571,520
Mary,0.1034,170
John,0.0891,320
Dave,0.0734,140
Angela,0.0721,60
Bob,0.0705,640
Jane,0.0609,480
Fred,0.0701,520
Mary,0.1024,170
John,0.081,320
Dave,0.074,140
Angela,0.0711,60
Bob,0.0715,640
Jane,0.0609,480
Fred,0.0701,520
Mary,0.1084,170
John,0.0891,320
Dave,0.0774,140
Angela,0.0701,60
Bob,0.0795,640
Jane,0.0699,480
Fred,0.0751,520
Mary,0.1004,170
John,0.0891,320
Dave,0.0764,140
Angela,0.0741,60
Bob,0.0705,640
Jane,0.0689,480
Fred,0.0701,520
Mary,0.1094,170
John,0.0891,320
Dave,0.0764,140
Angela,0.0761,60
